formatted_address,latitude,longitude,google_place_id,input_string
Dubai Marina - Dubai - United Arab Emirates,25.0715948,55.130164,ChIJ139r5FYTXz4RxXaGeRiFicY,"The Jewels T1 Marsa Dubai Dubai , UAE"
Warsan 1 St - Dubai - United Arab Emirates,25.1583539,55.4243304,ChIJr_-uUlxhXz4R_vCltuj9dsU,"L07 Al Warsan First Dubai , UAE"
Burj View Towers - Downtown Dubai - Dubai - United Arab Emirates,25.190671,55.281873,ChIJs_tCfiVoXz4RvTc7a5BSznQ,"Burj Views Podium Burj Khalifa Dubai , UAE"
Warsan 1 St - Dubai - United Arab Emirates,25.1583539,55.4243304,ChIJr_-uUlxhXz4R_vCltuj9dsU,"S11 Al Warsan First Dubai , UAE"
Warsan 1 St - Dubai - United Arab Emirates,25.1583539,55.4243304,ChIJr_-uUlxhXz4R_vCltuj9dsU,"T07 Al Warsan First Dubai , UAE"
Warsan 1 St - Dubai - United Arab Emirates,25.1583539,55.4243304,ChIJr_-uUlxhXz4R_vCltuj9dsU,"T04 Al Warsan First Dubai , UAE"
Warsan 1 St - Dubai - United Arab Emirates,25.1583539,55.4243304,ChIJr_-uUlxhXz4R_vCltuj9dsU,"T01 Al Warsan First Dubai , UAE"
Dubai Marina - Dubai - United Arab Emirates,25.0715948,55.130164,ChIJ139r5FYTXz4RxXaGeRiFicY,"The Jewels T2 Marsa Dubai Dubai , UAE"
Warsan 1 St - Dubai - United Arab Emirates,25.1583539,55.4243304,ChIJr_-uUlxhXz4R_vCltuj9dsU,"T09 Al Warsan First Dubai , UAE"
Warsan 1 St - Dubai - United Arab Emirates,25.1583539,55.4243304,ChIJr_-uUlxhXz4R_vCltuj9dsU,"T05 Al Warsan First Dubai , UAE"
Warsan 1 St - Dubai - United Arab Emirates,25.1583539,55.4243304,ChIJr_-uUlxhXz4R_vCltuj9dsU,"T06 Al Warsan First Dubai , UAE"
Downtown DubaiSouth Ridge - Dubai - United Arab Emirates,25.1863502,55.277321,ChIJg3C83DFoXz4RGIEMMzxlsWM,"South Ridge 2 Burj Khalifa Dubai , UAE"
Warsan 1 St - Dubai - United Arab Emirates,25.1583539,55.4243304,ChIJr_-uUlxhXz4R_vCltuj9dsU,"S19 Al Warsan First Dubai , UAE"
1 Sheikh Mohammed bin Rashid Blvd - Downtown Dubai - Dubai - United Arab Emirates,25.197197,55.2743764,ChIJS-JnijRDXz4R4rfO4QLlRf8,"Burj ViewsTower A Burj Khalifa Dubai , UAE"
Warsan 1 St - Dubai - United Arab Emirates,25.1583539,55.4243304,ChIJr_-uUlxhXz4R_vCltuj9dsU,"U01 Al Warsan First Dubai , UAE"
Dubai - Downtown DubaiSouth Ridge - Dubai - United Arab Emirates,25.1869691,55.276798,ChIJKZD2Hi5oXz4RrhFWDt8ICP0,"South Ridge 5 Burj Khalifa Dubai , UAE"
Dubai - Downtown DubaiSouth Ridge - Dubai - United Arab Emirates,25.1876084,55.2788881,ChIJ_bDh1i9oXz4RH-fhAUmbGk8,"South Ridge 6 Burj Khalifa Dubai , UAE"
Warsan 1 St - Dubai - United Arab Emirates,25.1583539,55.4243304,ChIJr_-uUlxhXz4R_vCltuj9dsU,"S17 Al Warsan First Dubai , UAE"
Warsan 1 St - Dubai - United Arab Emirates,25.1583539,55.4243304,ChIJr_-uUlxhXz4R_vCltuj9dsU,"P19 Al Warsan First Dubai , UAE"
"Jabal Ali First, Discovery Garden 1 - Jebel Ali Village - Dubai - United Arab Emirates",25.0520917,55.1301564,ChIJ78OKVjETXz4Rc7IaTH1jFXg,"MED 52 Jabal Ali First Dubai , UAE"
Mina Jebel Ali - Dubai - United Arab Emirates,24.9857145,55.0272904,ChIJqQlYMxISXz4RCjDF4Y0MTqE,"MED 53 Jabal Ali First Dubai , UAE"
"Jabal Ali First, Discovery Garden 1 - Jebel Ali Village - Dubai - United Arab Emirates",25.0520917,55.1301564,ChIJ78OKVjETXz4Rc7IaTH1jFXg,"MED 38 Jabal Ali First Dubai , UAE"
"Jabal Ali First, Discovery Garden 1 - Jebel Ali Village - Dubai - United Arab Emirates",25.0520917,55.1301564,ChIJ78OKVjETXz4Rc7IaTH1jFXg,"MED 39 Jabal Ali First Dubai , UAE"
"Jabal Ali First, Discovery Garden 1 - Jebel Ali Village - Dubai - United Arab Emirates",25.0520917,55.1301564,ChIJ78OKVjETXz4Rc7IaTH1jFXg,"MED 48 Jabal Ali First Dubai , UAE"
"Jabal Ali First, Discovery Garden 1 - Jebel Ali Village - Dubai - United Arab Emirates",25.0520917,55.1301564,ChIJ78OKVjETXz4Rc7IaTH1jFXg,"MED 54 Jabal Ali First Dubai , UAE"
"Jabal Ali First, Discovery Garden 1 - Jebel Ali Village - Dubai - United Arab Emirates",25.0520917,55.1301564,ChIJ78OKVjETXz4Rc7IaTH1jFXg,"MED 51 Jabal Ali First Dubai , UAE"
