latitude,longitude,google_place_id,area_name_en,nlat,nlng,slat,slng,type
25.2675792,55.3129667,ChIJ9wUnw8xcXz4RmOMJPxUb2Qs,Al Rega,25.2700019,55.3161406,25.2628802,55.303427,Bound
25.1668885,55.2142263,ChIJLVz6jxBqXz4RSdPRnk1Gevk,Um Suqaim First,25.16823748,55.21557528,25.16553952,55.21287732,Viewport
25.1028989,55.2061409,ChIJB46TBfNrXz4RwGpSDoTXFJ8,Al Barsha Second,25.1045659,55.2064166,25.1008958,55.2058988,Bound
25.1133927,55.1762197,ChIJYULiGGtrXz4R3ZbnNEoNd9Y,Al Safouh First,25.1329727,55.2004993,25.0877755,55.1492214,Bound
25.251822,55.3945655,ChIJibEz7d1dXz4RuTfiGbgz-Gs,Al Twar Third,25.2603415,55.4044301,25.2404521,55.3875725,Bound
25.27442,55.3686621,ChIJlf4vv1pcXz4RThAcSL_5wKo,Al Qusais First,25.27576898,55.37001108,25.27307102,55.36731312,Viewport
25.1586178,55.2245398,ChIJaVOfZCBqXz4RWfomWSr4UOI,Al Saffa First,25.1693148,55.2342904,25.1509175,55.2163141,Bound
25.136651,55.1955445,ChIJIaaMNUxqXz4RBFvZ_Q2JOps,Um Suqaim Third,25.1474651,55.2044695,25.1279182,55.1837898,Bound
25.27442,55.3686621,ChIJlf4vv1pcXz4RThAcSL_5wKo,Al Twar First,25.27576898,55.37001108,25.27307102,55.36731312,Viewport
25.2378577,55.4581076,ChIJ49DRcXBgXz4RCokVywhMgfM,Al Mezhar Second,25.23920668,55.45945658,25.23650872,55.45675862,Viewport
